iso3,country,year,scenario,hot_days_proj,hot_days_proj_diff_1981_2010,icing_days_proj,icing_days_proj_diff_1981_2010,trop_nights_proj,trop_nights_proj_diff_1981_2010,hot_days_proj_pct_change_1981_2010,trop_nights_proj_pct_change_1981_2010,icing_days_proj_pct_change_1981_2010,scenario_label,linked_ssp,is_linked_scenario
ARG,ARG,2037,PROJ_SSP245,35.4,12.3,1.0,-0.5,42.9,-0.4,53.24675324675325,-0.9237875288683605,-33.33333333333333,SSP2-4.5 (middle of the road),,False
ARG,ARG,2037,PROJ_SSP370,37.9,14.9,1.0,-0.5,47.0,3.6,64.78260869565217,8.294930875576037,-33.33333333333333,SSP3-7.0 (high emissions),,False
ARG,ARG,2037,PROJ_SSP585,40.8,17.7,0.9,-0.6,44.9,1.5,76.62337662337663,3.4562211981566824,-40.0,SSP5-8.5 (very high emissions),,False
ARG,ARG,2038,PROJ_SSP126,36.6,13.5,1.0,-0.5,42.4,-1.0,58.44155844155844,-2.3041474654377883,-33.33333333333333,SSP1-2.6 (low emissions),,False
ARG,ARG,2038,PROJ_SSP245,36.8,13.8,0.9,-0.6,42.4,-1.0,60.00000000000001,-2.3041474654377883,-40.0,SSP2-4.5 (middle of the road),,False
ARG,ARG,2038,PROJ_SSP370,36.6,13.5,1.0,-0.5,43.7,0.3,58.44155844155844,0.6912442396313363,-33.33333333333333,SSP3-7.0 (high emissions),,False
ARG,ARG,2038,PROJ_SSP585,40.4,17.3,1.0,-0.6,45.4,2.0,74.8917748917749,4.6082949308755765,-37.49999999999999,SSP5-8.5 (very high emissions),,False
ARG,ARG,2039,PROJ_SSP126,37.8,14.7,1.1,-0.5,43.4,0.0,63.63636363636363,0.0,-31.25,SSP1-2.6 (low emissions),,False
ARG,ARG,2039,PROJ_SSP245,36.4,13.4,1.1,-0.4,42.3,-1.1,58.26086956521739,-2.5345622119815667,-26.666666666666668,SSP2-4.5 (middle of the road),,False
ARG,ARG,2039,PROJ_SSP370,37.1,14.1,0.9,-0.7,45.7,2.4,61.30434782608696,5.542725173210162,-43.74999999999999,SSP3-7.0 (high emissions),,False
ARG,ARG,2039,PROJ_SSP585,38.5,15.4,0.8,-0.7,45.4,2.0,66.66666666666666,4.6082949308755765,-46.666666666666664,SSP5-8.5 (very high emissions),,False
ARG,ARG,2040,PROJ_SSP126,37.2,14.2,1.0,-0.6,42.5,-0.8,61.739130434782595,-1.847575057736721,-37.49999999999999,SSP1-2.6 (low emissions),,False
ARG,ARG,2040,PROJ_SSP245,39.8,16.7,0.9,-0.6,43.5,0.2,72.2943722943723,0.46189376443418023,-40.0,SSP2-4.5 (middle of the road),,False
ARG,ARG,2040,PROJ_SSP370,39.5,16.5,0.8,-0.7,45.1,1.7,71.73913043478261,3.9170506912442393,-46.666666666666664,SSP3-7.0 (high emissions),,False
